Rating,Reviews
3 stars,"I think there is too much hype built up about brown sugar boba! It is very sweet and has a good molasses flavour. It was just too sweet for me personally and not as amazing as the Internet previously made it out to be. I tried coffee jelly for the first time, and it was also not my personal favourite. Sadly, I would have given 4 stars if there wasn't a preset expectation."
5 stars,Delicious signature black sugar boba drinks with a friendly staff and comfy spot for people watching.
4 stars,👍 …
1 star,Drinks unfortunately were not good. The matcha was gritty and bland. The strawberry tasted artificial. Had higher hopes. The person who checked us out also seemed to be having a bad day.
5 stars,Quaint little spot that deserves more love. Got a regular black sugar milk tea boba and it was excellent.
5 stars,The worker Steven I believe his name was is such a good worker! My first time ever trying tiger sugar I did not know what to order and he helped me choose and asked me to try one of his favorite orders! It was super delicious and i’m glad he was so kind enough to do that for me :) 10/10 would go back! He remembers me as well and makes me the order when he is there!
3 stars,I have had better boba elsewhere. We ordered a lychee tea with small boba.
2 stars,"The guys are a bit rude and not giving much care. Watched another customer walk out and I should have taken it as a sign. 2/3 the drinks were fine, but my sister's drink tasted like straight milk. The guy gave her attitude to remake but she stood her ground and got it. Tasted more like the one I got at the end."
3 stars,"The drinks tasted ok.  It took forever to use their credit card machine to pay for our drinks.  The cashier had to remove the cord, install it again, and take our orders again to make the credit card machine work.  The drinks were already ready when we are finally able to pay.  I hope they’ll figure out a better way to pay by card."
3 stars,"Been here a few times, pretty solid boba shop. But your employee Julian was a bit too aggressive I’m usually very lenient because I understand people can have a bad day but like the sarcasm and aggressive behavior ruined this place for me."
2 stars,"jumbo “boba” is NOT actually boba!! it’s balls of coffee jelly. didn’t taste bad, but was bland and very disappointing. badly advertised and incredibly misleading - for $8, definitely not worth it. however, workers were super nice and i hear their fruit teas are delicious."
1 star,"I had high expectations about this place because people usually say that it’s good but from what I experienced all I could say is that I will not be coming back to this place, the boba drink that I also got was too bland, no flavor or anything. Highly disappointed. Will stick to my 7leaves, tea is much better there"
1 star,"The non-asian male cashier conversed, responded, and asked questions with a customer without looking at them. Wonder if that's how their parents taught them but I suggest they must have their manager reeducate them again."
3 stars,"They have 3.5 🌟 for a reason. Rude af and had to ask them to seal my drink (since I'll be walking around & didn't want to spill drink) was told they don't do it for kitty crush, yet when I asked they were sealing another 2 cups of kitty crush, make it make sense. Promo stated that if I bought a drink the sleeve would be 9.99 yet paid 12.99. At ktown, a friend bought 1 drink & 1 sleeve and got the promo but apparently regardless of 1 sleeve per person limit they just even bother to explain that I needed to buy another drink for the promo to work. Not sure if I'm gonna make the trip in the future to come here since it's a 30 min drive from home."
1 star,"Rude, poorly trained, unfriendly staff, and they got my order wrong. Although to be fair, even when they get your order right, the drinks here are sub-par at best. Do yourself a favor and walk across the street to Sunright or Gong Cha. Sunright even validates, which Tiger does not."
1 star,"The drink was okay at best. I mostly remember what a nasty attitude the cashier had. I visited on July 15, 2022 around 7pm and the cashier was a heavy set girl with curly hair. I simply and politely asked her if the drinks came with boba and she sighed looking very annoyed as she pointed to the drink where it says it contained pearls. I have never been to this shop before so I just wanted to clarify what is the problem with that? There was hardly anyone inside at the time what could be so difficult about answering a simple question? That was the first and last time I will ever go there. If you're looking for delicious bubble tea you will not find it here there are so many other options nearby."
4 stars,"Soooo sweeet !
Brown sugar boba is amazing ! summer match !"
1 star,"The worst boba drink I have ever had. Super watery, you absolutely don’t taste any tea at all. Overcooked boba - $7"
1 star,"They're stingy with their syrups, because the drinks come out tasting so weird and missing sweetness. The first time i went , it was perfect but these last three times I've gone, I'm basically paying for $6 for a cup of milk with a dash of syrup. So disappointing every time."
1 star,"Ordered a Black Sugar Pudding Cream Milk Tea and the boba pearls were not sweet at all, was bland. The Milk Tea itself was not sweet as well. You could mostly taste only the milk. Was disappointed."
1 star,"Ordered green tea latte with half the sugar, tasted like sugar water, my daughter's black tea latte with recommended sweetness tasted like there was no sugar, and my little one never got her drink because they were out of strawberry jam. Still waiting for my refund."
4 stars,"I always love the service but I feel bad for the baristas I understand natural lighting, but the sun light are in their faces. Besides that I love the boba and the drink I always get the number 2 off the menu ❤️❤️"
1 star,Their black sugar boba is horrible! Tastes like pure whole milk and the boba tastes very watery and old! Highly disappointed
1 star,"The staff didn’t shake the tea well, all the syrup just sticks at the bottom and it’s really sweet without mixing."
5 stars,"First tasted tiger sugar abroad, and it tastes the same here. Staff were very kind. Delicious boba, would recommend if you’re stopping by little tokyo."
1 star,"Tastes like sugar water and milk with boba. Doesn't taste like tea at all, and may not even have any tea. Technically, there's no mention of the word ""tea"" for #1 and #2 ""black sugar milk boba"", so who knows if it is even supposed to be tea. Very confusing, a bubble tea shop where the top 5 items are not even tea. Who drinks just sugar and milk without any tea? Go home, pour yourself some cold milk, dump a bunch of sugar in it, and that's what this is."
1 star,"I asked specifically for 100% sweetness and it tastes like plain water with tea, can't even taste the black sugar flavor

There's always Big line but that's only because there's barely any employees working, not worth the wait"
5 stars,I got their signature drink not too long ago and I can say it’s one of the best! As to the cashier they told me it was their most popular drink and I see why! I would be getting more drinks from there.
5 stars,It is my favorite place to get boba! I make the trek from the westside just for this! Don’t miss out!
4 stars,"Service is slow and they put a 3 leches cake in the cardboard box without any protection and it made a mess all over the place.
Not cool."
2 stars,Boba literally sucked so bad. Came out of state for plain starch balls.
1 star,my drink was full of ice and the matcha was very very very light.
3 stars,Very busy location and very disappointing boba. Firm and not sweet. Not what we expected from Tiger Sugar.
5 stars,Staff was very friendly and appreciative of us stopping in. If you're in the area check them out!!
1 star,Eh….drink quality is really bad. I had other Tiger Suger stores before but this one is exceptionally… the worst
1 star,Don’t get matcha here
3 stars,"Very watered down milk tea, minimal flavor, wouldn’t order again, no restroom"
1 star,Milk tea taste like just milk :( not strong at all :(
5 stars,they played vamp anthem by carti and great boba
2 stars,got my order wrong
5 stars,Good ole reliable boba
5 stars,workers were so kind and i love the atmosphere. great drinks as well!
1 star,Boba tastes like tap water.
5 stars,Strawberry mochi creame mousse is the best here <3 super refreshing!!
5 stars,First time here and B1 is delicious! Will definitely come back for more.
5 stars,Their coffee drinks are really good.
5 stars,Gets crowded but it's really great
1 star,The staff are making the boba tea tooo inefficiently
5 stars,C1 coffee boba was soooo good.
1 star,Can’t get an order straight.
5 stars,"Good tea, fast service, clean place"
4 stars,Good spot for a sugary drink and to people watch.
5 stars,Great flavour milk tea.
4 stars,Which side are you with?
5 stars,Good and delicious!
1 star,"The staff was too rude, we went to try the drink that they promote so much and they don't serve it like in their images👎🏼👎🏼"
4 stars,Stable and friendly staff with good service
5 stars,Tiger Hall is very popular in Taiwan and has opened a branch in the United States. The quality is absolutely guaranteed! AMAZING~~~
5 stars,"The service is very friendly, there is a place to sit."
3 stars,"The drinks were good but the place was very dirty, we had to clean ourselves"
5 stars,Chanchi chon
5 stars,No review text available
5 stars,No review text available
4 stars,No review text available
1 star,No review text available
5 stars,No review text available
5 stars,No review text available
1 star,No review text available
1 star,No review text available
5 stars,No review text available
4 stars,No review text available
5 stars,No review text available
3 stars,No review text available
5 stars,No review text available
5 stars,No review text available
5 stars,No review text available
5 stars,No review text available
5 stars,No review text available
1 star,No review text available
