Reviews,Marketing,llama_cluster,Rating,Comment
"4 - Interested due to the discount and positive past experiences, likely to visit soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"Interested due to the discount and positive past experiences, likely to visit soon."
"4 - A 20% discount is attractive, and I enjoy their boba. Likely to visit within two weeks.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"A 20% discount is attractive, and I enjoy their boba. Likely to visit within two weeks."
"5 - Great offer, love the discount. I'll visit Tiger Sugar this weekend to enjoy my favorite boba tea.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"Great offer, love the discount. I'll visit Tiger Sugar this weekend to enjoy my favorite boba tea."
"5 - The promotion offers a substantial discount and emphasizes Tiger Sugar's quality, encouraging me to visit this weekend.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"The promotion offers a substantial discount and emphasizes Tiger Sugar's quality, encouraging me to visit this weekend."
"4 - The 20% discount is appealing, and I’m interested in trying the product soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The 20% discount is appealing, and I’m interested in trying the product soon."
"4 - The discount and boba quality are appealing, intending to visit within a couple weeks.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"The discount and boba quality are appealing, intending to visit within a couple weeks."
"5 - The 20% discount and promise of the best boba are highly enticing, making me eager to visit this weekend.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"The 20% discount and promise of the best boba are highly enticing, making me eager to visit this weekend."
4 - The discount and promise of quality make it appealing. I'll likely visit within the next couple of weeks.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,The discount and promise of quality make it appealing. I'll likely visit within the next couple of weeks.
4 - A 20% discount is appealing and I enjoy their boba. Likely to visit soon to take advantage of the offer.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,A 20% discount is appealing and I enjoy their boba. Likely to visit soon to take advantage of the offer.
5 - Love the discount and excited to try the boba soon.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Love the discount and excited to try the boba soon.
"5 - The promotion offers a compelling discount, enhancing the appeal to try their highly-rated boba, matching my positive past experiences.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,"The promotion offers a compelling discount, enhancing the appeal to try their highly-rated boba, matching my positive past experiences."
5 - Great discount and enticing boba offer. Excited to visit this weekend.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Great discount and enticing boba offer. Excited to visit this weekend.
"4 - Interested due to the 20% discount, and curious about their claim of being the best boba, planning to visit soon.","""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,4,"Interested due to the 20% discount, and curious about their claim of being the best boba, planning to visit soon."
5 - Excited to try their highly praised boba with a 20% discount opportunity this weekend.,"""Experience the best boba in town! Enjoy 20% off your first drink this weekend. Taste the difference at Tiger Sugar. #BestBoba #TigerSugarExperience""",0,5,Excited to try their highly praised boba with a 20% discount opportunity this weekend.
"3 - It's a fun idea, but social media contests don't strongly entice me to participate or visit soon.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,3,"It's a fun idea, but social media contests don't strongly entice me to participate or visit soon."
4 - Interested in sharing moments and winning a free drink. Would participate soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing moments and winning a free drink. Would participate soon.
"4 - Interested because winning a free drink is appealing, and I enjoy sharing moments on social media.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"Interested because winning a free drink is appealing, and I enjoy sharing moments on social media."
5 - Encourages engagement and community with a fun opportunity for a free drink.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,Encourages engagement and community with a fun opportunity for a free drink.
4 - Interested in sharing moments and winning a free drink. Potential visit within two weeks.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing moments and winning a free drink. Potential visit within two weeks.
5 - Engaging and offers a chance to win; great way to enjoy more of what I already love.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,Engaging and offers a chance to win; great way to enjoy more of what I already love.
"3 - It’s a fun idea, but might not spark immediate interest.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,3,"It’s a fun idea, but might not spark immediate interest."
4 - I’m interested and might share my experience to win a free drink soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,I’m interested and might share my experience to win a free drink soon.
"4 - The chance to win a free drink is appealing, and I might participate soon.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"The chance to win a free drink is appealing, and I might participate soon."
4 - I'm interested in sharing my Tiger Sugar moments and enjoy the chance to win a free drink.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,I'm interested in sharing my Tiger Sugar moments and enjoy the chance to win a free drink.
4 - I'm interested in sharing Tiger Sugar moments and trying to win a free drink soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,I'm interested in sharing Tiger Sugar moments and trying to win a free drink soon.
"5 - The promotion encourages engagement and offers a chance for a free drink, enhancing customer experience.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,"The promotion encourages engagement and offers a chance for a free drink, enhancing customer experience."
"3 - Sharing moments is nice, but it doesn't excite me enough for immediate action.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,3,"Sharing moments is nice, but it doesn't excite me enough for immediate action."
4 - Interested in sharing moments and winning free drinks. Enjoy their boba.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing moments and winning free drinks. Enjoy their boba.
"5 - Engaging and fun, encourages interaction and offers a chance to win a free drink.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,"Engaging and fun, encourages interaction and offers a chance to win a free drink."
5 - Opportunity to win a free drink excites and encourages interaction.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,Opportunity to win a free drink excites and encourages interaction.
4 - The promotion is inviting and engaging with a chance to win a free drink. I might participate soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,The promotion is inviting and engaging with a chance to win a free drink. I might participate soon.
5 - I love the idea of sharing moments for a chance to win. It's engaging and makes me want to visit soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,I love the idea of sharing moments for a chance to win. It's engaging and makes me want to visit soon.
"4 - Interested in sharing moments and winning a drink, but may wait a week or two to participate.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"Interested in sharing moments and winning a drink, but may wait a week or two to participate."
"4 - Interested in sharing and winning, boosting engagement and excitement for Tiger Sugar.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"Interested in sharing and winning, boosting engagement and excitement for Tiger Sugar."
5 - Excited to join the contest and enjoy great boba with excellent service.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,Excited to join the contest and enjoy great boba with excellent service.
4 - Interested in sharing favorite moments and winning a free drink. Likely to participate soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing favorite moments and winning a free drink. Likely to participate soon.
"4 - Interested in sharing moments and winning a free drink, will participate soon.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"Interested in sharing moments and winning a free drink, will participate soon."
4 - Interested in the chance to win a free drink and sharing moments. Will likely engage in the next week.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in the chance to win a free drink and sharing moments. Will likely engage in the next week.
4 - Interested in sharing my moments and winning a free drink soon.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing my moments and winning a free drink soon.
"4 - The chance to win a free drink is appealing, and I enjoy sharing moments on social media.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"The chance to win a free drink is appealing, and I enjoy sharing moments on social media."
4 - Interested in sharing moments and winning a free drink enhances my engagement with the brand.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing moments and winning a free drink enhances my engagement with the brand.
4 - Interested in sharing moments and winning a free drink. The chance to enjoy the best boba is appealing.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,Interested in sharing moments and winning a free drink. The chance to enjoy the best boba is appealing.
"4 - Interested in sharing moments for a free drink chance, but might participate in the next week or two.","""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,4,"Interested in sharing moments for a free drink chance, but might participate in the next week or two."
5 - Very engaging way to interact and win a free drink.,"""Love our bubble tea? Share your favorite Tiger Sugar moments with #TigerSugarTreats for a chance to win a free drink! Enjoy the best boba and service today!""",1,5,Very engaging way to interact and win a free drink.
