Rating,Reviews,llama_cluster
2,"I've been to several different boba shops and felt confident in going to a good shop with the 4.3 stars on Google. I had seen the giant boba advertised on Instagram so I came and it was not what I was expecting at all. The other reviews are correct, you can't customize your drinks, what the pictures look like is what you get.

The main problem I had was the boba balls in the giant boba drink are not the typical tapioca boba, but have the consistency of Jello and taste more chemically than brown sugary. While the drink itself was okay, I was really disappointed with the quality of the boba. I couldn't finish the drink which does not happen often for me, the boba was just too gross.

The atmosphere of the store is more of a grab your drink and go place, instead of games and a hangout spot. This isn't necessarily a bad thing, but it's also not the most inviting. It was very clean though which I appreciated. The service was great, no trouble at all and the lady was fast and very nice. She was definitely the best part of my experience at TIGER SUGER Westminster.

With not being able to customize my drink and the lack of quality in the beverage, I most likely will not be back.",0
2,Much better boba options in the area. I love Tiger Sugar but this location is not great. The other low reviews are accurate and you cannot customize your drinks in any way. They are also not the most friendly staff we’ve seen (could just have been unlucky). We’ve been several times to give it a chance but probably won’t be back.,0
1,Heard really good things about Tiger Sugar was very underwhelmed. The barista seemed like she didn't know what she was doing. The taro drink tasted just like milk with old boba in it 🙄 and the matcha was bland and also very underwhelming. Very disappointed and the drinks were like $7 a piece.,0
4,"My girls and I love the Jumbo boba. Service was good. The atmosphere for where it is, is okay. Just got cramped fast when other people where waiting for drinks as well. Really good overall!!",0
5,"Clean, friendly staff. Great Bubble teas! Must try.",1
5,First time I got there. The service was really fast. Clean and warm . My drink soooo delicious. I was love it. I will come again soon!,0
5,"Drinks are great, snacks are even better. People who leave 1 stars do not know what asian boba drinks taste like, its an acquired taste, dont blame the store if you dont like the taste, its your fault not the drinks.",0
5,My grandma went in Tuesday afternoon. She has no idea what boba is and the girl in the front stood there for 15 minutes helping her and explaining to her about every drink she was questioning while also helping other customers. She finally decided on the Mango Sago and ordered me their signature. Absolutely amazing service and the loveliest staff. You have to try their drinks. My new go to drink place!! The place itself is very cozy.,0
1,"The boba at this place was absolutely heinous. There was like 8 different textures and no room for customization. I got the Taro one and it was absolutely terrible. It was curdly and weirdly chunky, utter lack of flavor and overall just a terrible drink. I will never be buying a drink from Tiger Sugar again :) don’t waste ur money here",0
2,"Got two drinks for me and my daughter, I got the taro boba (bc they were out of the hello kitty drink) & my daughter got the strawberry mochi

The taro pudding boba had the consistency of milk that was rotten. It didn’t taste sweet it 100% tasted like it shouldn’t have with hard flavorless chunks in it . Didn’t get to try a drink of it until we already left.. the hype wasn’t worth it",0
1,If I could give a 0 I would. Came in because I saw a TikTok ad for their giant boba tea drink. Went into the Westminster location and ordered two teas with jumbo Boba and saw a sign saying to shake boba before you drink it. Paid almost 16$ for 2 drinks got in the car tried to take a sip and got a drink of powdery gelatin. I shook both more than necessary and it was absolutely disgusting! Got home and tried to doctor the drink up by boiling the mixture and I tried the giant boba balls which tasted like CHEMICALS. Worst thing I ever drank and tasted! MAYBE DONT ADVERTISE DRINKS THAT ARE OVERPRICED GARBAGE! GO TO KING FU TEA INSTEAD!!,0
1,"Changed to 1 star after realizing they do this to everyone.
As tons of people have already mentioned.  They dont let you customize your drink.  Wanna add boba to a drink that doesnt have it?  They will just tell you no.  Willing to pay extra? Too bad.  They know whats best.  To the owner.  Ease dont paste your generic reply about measuring the best freshest ingredients.  Your customers want something, are willong to pay you more for it, and you tell them no?  Seems pretty stupid.  The only reviews you get that are positive is when ppl just happend to like something youve made the way it comes. I'll just go to literally ANY other place.",0
4,The service was the best part! I went in for a popcorn chicken - thats all - and it took 25m for it to be prepared. Will be back for Boba; atmosphere is small and clean.,0
5,One of the best boba’s I’ve gotten. I love their Mango green tea with regular boba. It’s the perfect amount of sweetness for me and the ratio of boba to tea is perfect. If you’re in the area you have to stop by and try this place!,0
5,"The black sugar boba +pudding milk tea was so good. It was like flan and boba and milk tea in a cup. They have a lot of options and none of them seem to be things you typically find at other boba shops, so I would read the menu before you go. None of my “go-to” drinks were on the menu. But that led me to explore and go out of my comfort zone!",0
3,"Not enough customization. Great staff, very friendly, but the main draw of boba is being able to customize your own drink. Too many things on the menu were not changeable in any way.",0
5,PERFECT BOBA!! I’ve tried tiger sugar in Aurora and it’s such a drive but when I found out we had one coming here I couldn’t wait. It was just as great as the first time. My boyfriend and I loved the number one. You guys hands down have the best boba pearls i've ever tasted too and have such a sweet staff. I cannot wait to keep coming back here.,0
5,I have tried everything they have on the menu and definitely love this boba shop. The coffee latte and Mango sago are my favorite. I also like the passion fruit tea as their newer arrival.The workers are so friendly and helpful every time I visit too.,0
1,"Ordered a brown sugar boba and a mango one and it had these weird jello pieces in it that tasted like fish. Hands down worst boba ever, do not go here. There was also a weird bug trap thing at the front of the store with dead moths in it. Absolutely disgusting",0
2,I’ve never been to a boba shop that doesn’t allow you to not have ice. Which is kind of annoying because I like to buy drinks for my family members but don’t want the ice to water down the drinks. Share tea and kung fu tea allow you to customize your orders without a problem,0
5,strawberry waffle that is really good.. So like it. Is yummy,1
5,I've been to so many boba places in the Denver metro. I went for the first time to this one yesterday and it was incredible. It was definitely the freshest one I've been to. Can't wait to go back!,0
5,"I've had a fair amount of boba drinks, but this was my first experience having boba that's so creamy. It was different than what I expected, but very tasty!",0
5,"Super cute, clean shop with friendly service and amazing drinks. So excited to have found this spot, definitely worth a try for anyone who loves tea or boba.",0
5,"Brown sugar milk tea, with its perfect blend of rich milk and sweet brown sugar, is always amazing🤍",0
5,The most delicious boba in town! Be sure to get the taro pudding milk tea and the black sugar boba and pearl w/cream mousse drinks. SO good.,0
5,This place has the best boba and wonderful customer service! ⭐️,1
5,The boba here is so good. I’ve only tried the Matcha so far but can’t wait to try the other flavors too. Service was fast and friendly!,0
5,The workers were so sweet and made accommodations to my drink! They suggested me a great drink and the boba was so fresh despite me coming in pretty late!,0
5,"I got the strawberry mocha on their grand opening, it’s my favorite!! Finally it came to Westminster!! I can save my 40mins driving. It’s as good as always. I got my freeeeee drink as the first 100 customers too! Yeah!",0
5,"The BEST boba in town!
Service is great as well.",1
5,I come on a nice Sunday night and tall wasian girl and Vietnamese girl make me delicious boba best boba ever taste just like my home country wasian girl Chinese very good and helpful because my English is no good 😊,0
5,Boba tea was good. They don't have a lot of seating space but most takeout anyways. The service was good and quick. Would visit again soon.,0
5,"TIGER SUGAR IN WESTMINSTER?! I’m so happy!!! Best boba in Colorado. Great location. Also, the employees were so nice and lovely.",1
5,My favorite Boba place 💙 …,1
4,Fast and friendly service with beautiful drinks that taste great and really beat the heat! They gave us a punch card for a free drink so we will be back!,0
5,I always get the Mochi boba or the brown sugar creme brulee drink and it always hits the spot. Great place for an indulgent sweet treat.,0
2,Took 30 minutes to get my drink 1:30pm on a Thursday. Only 2 members here who are measuring each ingredient to the gram cresting the hold up. I would say give this place a month to work out these kinks because the wait is not okay.,0
5,The drinks and desserts are amazing! I love the oolong with cheese mousse and crepe cake!,0
1,I wish they had more flavors! They do so many good collabs but not good flavors 🥲,0
5,"I at first gave this place a bad review, but I realized it was actually mine own stupidity that influenced the review and now recognize that the drink was made perfectly, and was actually an amazing drink. Highly suggest going here.",0
5,"Same great taste, but now ordering got much easier with kiosks. Available seating enhances the experience further, too.",0
5,"Me and my husband love tiger sugar, so happy they opened one closer to us, our favorite is No 1 and  No 7",0
5,Great place to enjoy some sake and sushi for a first date!,0
1,"This place sucks, they didn’t have any drinks and all the reviews were really bad and I will never come back here.",0
5,Great Boba teas. My favorite place!,1
5,"Tiger Sugar makes the best boba milk tea, hands down.",1
5,So far my favorite boba shop In Colorado!,1
5,Very good! I don't usually like milk tea but this is amazing!,0
5,Best boba!!!,1
5,"Wow!  Tiger Sugar, where have you been all my life!
All I can say is YUMMY YUMMY YUMMY",1
5,"I love the strawberry mochi, so good!",1
5,Best boba to get in colorado!!!!,0
4,Bubble tea with different size tapioca pearls.,1
5,Love their brown sugar milktea,1
5,My favorite Boba place.,1
5,Delicious,1
5,"The aesthetic is very cozy and inviting!! The customer service from the people working was amazing, they explained a lot of the menu items to us and were very nice!! Best boba place I’ve been to in a minute, definitely try it out! AMAZING 10/10",0
5,"Tiger sugar is the epitome of a welcoming environment. The workers and owner have a generous spirit in customer service. I love the boba, croffles, and tayaki from here! Recommended going here with friends and family!",0
5,"If you are in or near Greenwood, IN looking for delicious boba teas or milks and incredible desserts then this is a must stop. The ambiance is very warm and welcoming with plenty of seating to include lounge and couches. Owners and staff are very friendly. There is something here for everyone.",0
3,"A friend of mine had a negative experience here but I wanted to experience it firsthand and give this place a try. I liked the interior and ambiance. Service was okay. Bathrooms were clean. The teas I ordered were Thai and Classic Taro. Personally, the brown sugar overpowered the flavor because it was absent of one. Short answer is: my friend was right!",0
5,I never give reviews but i wanted to let yall know the guy working there was super friendly and kind! He made us feel welcomed and the drinks were delicious as well! I had the matcha & my boyfriend got their signature drink & the kiddo got a mango slush and we all LOVED our drinks. The place was also very clean & cozy!,0
1,"WOW, this place is slow and so expensive and imho, not worth the wait or the price. I took my son here 2 days ago, and there was a bunch of people sitting waiting for their drinks(I wish I would have noticed that)! We ordered 2 teas at 12:46PM I received my receipt via SMS. Then we waited...During our wait, the gentlemen that took our order, called out numbers for people waiting only to ask them what they wanted to substitute as they were out of something that went in their drink(this happened twice). Then when it was his turn to make my sons tea, he said, sorry but we are out of passionfruit Boba. What would you like to substitute it with?

So finally at 1:17 he called our number and we got our drinks. I got the peach tea, with popping peach BOBA, and honestly as if the wait wasn't long enough, the tea was horrible. I was so disappointed! My son told me he would rather go to the mall and get one there next time, so I guess that is what we will do.

I would avoid this place at all costs, at least until they have their staffing and ordering of products straight. Just my 2¢",0
5,"Very delicious, I’ve always heard of this because it’s so popular in Asia and New York and other bigger cities. I’m so glad we have one here! By looking at it you would think it’s super sweet, but it’s actually not at all. Creamy and just right amount of sugar, it has a very nice black roast flavor. I would recommend this to everyone.",0
5,"I “need” and “want” to try other menu items (especially a “croffle”)  but I just love the Mango Sago SO much!  😂

LOVE the ambience and staff!

Give ‘em a try!",0
5,"From the food to the place, everything is so well done. The customer service was amazing with their greetings as soon as you come in. The decorations make me feel comfortable and welcoming with the woodsy feeling. Variety of boba and croffles to choose from, but everything has been tasty!!",0
5,tiger sugar is one of the best places to take pics with my friends. i just come when i want to relax and chill. the workers are always friendly and nice to chat with. definitely would recommend!!!,0
5,"Been there twice so far and plan on coming back!

I love that the drinks are a little less on the sweet side than most boba shops. Good texture boba",0
5,"Highly reccomend stopping in and trying this place. The decorations inside felt very sterile. Very simple but clean. The drinks are def the star of the show. I tried a mango slush, which had real mango in the bottom. I love mango and this was very tasty. My wife ordered the number 1. This was a different level. It had boba pearls and milk pearls and the drink flavor was excellent. Fantastic carmel and brown sugar flavors with coffee tones too. Can't wait to try more on the menu.",0
5,We've been here a few times now and all of the staff are so friendly and welcoming! The bobas are tasty and the snacks are yummy! Highly recommend!,0
5,I love this place! I love the atmosphere and the drinks. The workers are wonderful. Plants add a nice touch. 10/10 recommend,0
5,"The owners are so nice and understanable. The employees are trained well and the store is always so clean, smells really good, and is asthectically pleasing. Drinks are super enjoyable and the best part about the store.",0
5,My son comes every chance he gets to get the #7 Taro Pudding with black sugar boba!,1
5,They’re the best. I got pickup today for my daughter and the guy was so nice and sweet and helpful. Thank you. Thank you so much.,0
5,The employees were so nice and the boba was excellent to taste. Definitely recommend this being your new boba spot to hang out!,0
5,"If you are looking fresh soft bobas, this is the place. We tried couple of drinks, they were all great. Must try place!",0
5,New boba place….I love their passion Fruit…. I will be back for another flavor… highly recommended …,0
4,New bubble tea spot on south side of Indy. The place is nice and clean and the drinks are delicious. I will go back.,0
5,Definitely happy to have a great boba shop near home. The staff is kind and helpful.,0
5,"The drinks are delicious!!! The taro black tea has real Taro! Not just powder like other places! Also many drinks came with boba,  pudding or cream foam, the price is relatively good with all the extras! But best is how good the drink taste!",0
5,Great staff Best drink I have had in a long time been twice already!,0
5,the sink was so cool and I like the matcha,1
5,"The best place for boba and drinks...coming back again for sure
service was good and owner is very friendly and aproachable",0
1,60% ice. Too much ice and not much drink. Also the XL size drink is $1 more on Doordash even if you choose pickup in store.,0
5,"They had a very good customer service, which all the workers were really nice. The service was quick and it was still one of the best drinks. The ambience and atmosphere were really beautiful. Fully recommended. P.S one of the cleanest bathrooms you’ll see.",0
5,"Absolutely delicious!!! I'm new to this Boba thing,  but this place is great!!",0
5,I love their boba. The drinks are very delicious and way better than other boba places. I am glad we have Tiger Sugar in Indianapolis.,0
5,Awesome new find in south-side Indianapolis. Just north of greenwood mall. Decor inside matches perfectly to the delightful teas. They have a wide variety of drinks to choose from.,0
3,"I got the matcha drink
Pros:
I enjoyed the taste of the matcha! It didn’t have a grassy taste + the interior was pretty
Con:
-I wasn’t a fan of the tapioca boba
-The size of the cups were misleading because their L was basically a standard size (medium/regular)",0
5,"Excellent customer service. Drinks are amazing & delicious.. highly recommend.
I finally found where to get my favorite boba drinks..",0
1,"Although the service and atmosphere was good, the boba did not taste good for the price. I feel as though you can get a better boba somewhere else for the same price.",0
2,The owner was trash talking another local teahouse IN FRONT of their employees just to promote his own business. I believe that your products should be able to stand on their own legs if they're truly good. It left a sour taste in my mouth.,0
5,Love all they have to offer. They have board games and great music. Perfect for small hangout or date. Wish more people knew about this place.,0
1,The boba didn’t taste good at all and workers there were really outgoing and greedy. Overall this was not a good boba shop to go to,0
5,Opening day at Tiger Sugar! It’s busy but the atmosphere was great. People were friendly. The F3 is amazing. You have to try them!,0
5,Loving these new fancy Boba places. Good drinks and positive vibes.,0
1,"They charged my credit card twice, and ignore my message to request a refund. Be careful when you shop here.",0
5,Great boba spot. I personally love the strawberry mochi,0
5,"The customer service is nice. I was greeted immediately when I first walked in. I ordered 5 different drinks, and it came out super quick.",0
5,Great service. The owner is really nice and friendly. The drinks are so yummy. Highly recommended.,0
1,The boba taste super bad I wouldn’t recommend but the decor and the employees were very sweet and nice,0
5,This place is a new boba in town and not only it’s new it’s the best boba place in town. You don’t want to miss it!!! Go and stop by.,0
5,"Nice customer service, very clean, and the boba is 10/10 definitely will come back!",0
5,"First time, I'll be there many more..trust me 👍👍 …",1
5,very authentic very juicy boba,1
5,"Super nice people, great tea. I went twice today. Yum.",0
5,Nice workers complimented my shirt,1
5,Best boba in town? got that right! 1000 + aura 😍,1
5,Good vibes here to chill with friends and amazing music hits to listen here,0
3,Too too too sweet! Only drink a little bit.,1
5,Brown sugar is insanely good.,1
5,preciate the free boba,1
5,Amazing,1
5,Best in town,1
5,Free drinks,1
5,My all time favorite boba place! The drinks never disappoint and everyone is super nice.,0
5,BEST DUMB EVERRRR NO 🧢 …,1
3,"i cant lie and say i wasnt disappointed when i ordered the same thing here as i did in another branch... that might have been in another country, and received something completely different. it was still okay, but my expectations were shut down so quickly 😔 have a look at my other tiger sugar review in montreal and you'll witness true greatness epitomised in a bubble tea beverage

the staff here were really nice at least!",0
4,This is the Little Tokyo outlet of Tiger Sugar bubble tea chain. You get to order with a person here as opposed to using a touch screen at some other places. Selection is quite good and they emphasize the variety of sugars and syrups. It is a good choice for Little Tokyo. Of course here you have to use paid parking to enjoy Little Tokyo.,0
4,"Tried their matcha latte and the strawberry mochi drink, the first was honestly mid but the mochi drink was sweet but good! i would say skip the lattes and go for an specialty drink which is their strongest things on the menu as well seasonal drinks if you have a sweet tooth, there’s a few tables inside for people to sit down.",0
2,"The wait wasn't too bad when I got here on a Friday afternoon. It didn't take too long to get my order either.

The tea was more on the bitter and less sugar side; not quite for me. The boba in the Black Sugar boba milk was pretty mushy and it tasted like it was sitting for too long during the cooking process.",0
4,"Drink markets in Little Tokyo is getting more competitive and another boba store just opened.

We got black sugar boba cream and mango sago drinks, oops forgot to order half sweet and it was a little too sweet.

No complain on quality of drinks.
I don’t think they are not the best in this area. Definitely best black sugar taste, but you don’t get many choices besides black sugar.
Boba was a little too firm too.

Mango drink was too thick and sweet for me, the topping was weird (is it pear?), half sweet maybe better.",0
5,"I got the boba black tea with mochi. It was really good. The owner was around and he's super attentive and made sure you were taken care of. The customer service is really good here. It's a small spot, so not that much room for studying, but I'll definitely pass by anytime I'm in Little Tokyo",0
5,"I went in to chat about a job and everyone in the store was so kind. I was offered a drink on the house while I waited, and it was so refreshing. The tea was slightly watery, but otherwise very tasty.

All of the staff were great and took the time to welcome me in and speak with me. The inside of the shop was cozy, and has a great view of the hustle and bustle of Little Tokyo.",0
5,"The heaven of all things boba! If you already know, you've told your friends. The Thai Tea was perfect!",0
5,Owner of this location was hospitable. Provided my friends with sample items for taste testing before we ordered. Boba had good consistency. Milk substitutes available for those who don't want whole milk.,0
4,"I ordered 3 drinks yesterday and 2 of them were very good! The third one was their brown sugar bubble milk tea, and it was extremely disappointing because it tasted completely like milk and nothing like tea or any other brown sugar drink I've ever tasted. Would definitely recommend people to order other drinks than that one.",0
5,"Dangerously delicious and addicting. My first try and I got the #3 ""Black Sugar Boba and Pearl Milk Cream Mousse."" Make sure you shake it many times so it mixes well!",0
2,"Service was pretty bad. I've had Tiger Sugar in Malaysia all the time, and they taste amazing. Somehow, the branch here in Little Tokyo had bland black sugar cheese mousse bubble tea. I dont know how bubble tea could even taste bland with so much sugar. Might be because they were about to close or prepped the order wrong, will not revisit.",0
2,"Beware, the prices here are higher than the prices on the menu. Literally scamming you. I asked the lady on register if they know and she told me yes, that the owner haven’t changed them but they are aware.",0
5,"Boba was chewy!
Little shop with less than 10 chairs where you can people watch the bustling corner of little Tokyo.
Parking is validated for I think 30 minutes for the attached lot.",0
1,"looks can be deceiving
taste bland
little pearl are sticking together like big balls mushy boba
taste like just milk with burned sugar

its my second time to order , 1st one is in lasvegas. yummy chewy. good. here i dont know what happend",0
5,"My friend is a stand seller at little Tokyo so we got bobas and the workers were so nice we even got free water refills for the day ice and the boba was so good, I would definitely recommend the boba and it is one of the best bobas I've ever had in my life. You should also try out the other things like their other bobas and more!!!! Love tiger sugar try it out guyssss yum!",0
5,Simple one in a million. Excellent customer service and delicious 😋 tea 🧋. Costume made your drink 🥤 of choice and nice ambiance. Great kids working together. …,0
2,"The female staff member was very kind and likeable, the male staff member wasn't that great but I get it, working minimum wage is exhausting. The rating is really pertaining to the drinks than the staff or even the store itself.

We got the Strawberry Mochi Mousse and it tasted AWFUL! We shook it and it tasted like straight artificial overly sweet flavoring. I love sweets but we only took two sips of our drinks before just throwing the full cups away outside because it was so disgusting. It just tasted so fake and candy-like in the WORST way possible. I got mine with oat milk too, and it somehow added a nutty flavor to the drink but did nothing to make it taste better in any way that mattered.

We got the collab Hello Kitty cups which aren't even reusable, they're just paper cups! What's the point? Plus the tea would leak whenever I tipped the cup even slightly because the film they use to seal the cups was so flimsy. I stirred the straw gently and it tore the film.

Don't waste your money here, Boba Time is right down the street.",0
5,"Cute little place across from the revolving sushi restaurant. Picked up a Black Sugar Coffee Jelly and a Golden Oolong Tea Latte and they tasted amazing! Service was friendly and the prices are pretty fair compared to lots of other places, especially around Houston!",0
5,"Love it! All drinks are so testy!!!  Nice UI design, easy to order. Especially you can adjust your own sugar, ice levels.",0
3,"I think there is too much hype built up about brown sugar boba! It is very sweet and has a good molasses flavour. It was just too sweet for me personally and not as amazing as the Internet previously made it out to be. I tried coffee jelly for the first time, and it was also not my personal favourite. Sadly, I would have given 4 stars if there wasn't a preset expectation.",0
5,Delicious signature black sugar boba drinks with a friendly staff and comfy spot for people watching.,0
4,👍 …,1
1,Drinks unfortunately were not good. The matcha was gritty and bland. The strawberry tasted artificial. Had higher hopes. The person who checked us out also seemed to be having a bad day.,0
5,Quaint little spot that deserves more love. Got a regular black sugar milk tea boba and it was excellent.,0
5,The worker Steven I believe his name was is such a good worker! My first time ever trying tiger sugar I did not know what to order and he helped me choose and asked me to try one of his favorite orders! It was super delicious and i’m glad he was so kind enough to do that for me :) 10/10 would go back! He remembers me as well and makes me the order when he is there!,0
3,I have had better boba elsewhere. We ordered a lychee tea with small boba.,1
2,"The guys are a bit rude and not giving much care. Watched another customer walk out and I should have taken it as a sign. 2/3 the drinks were fine, but my sister's drink tasted like straight milk. The guy gave her attitude to remake but she stood her ground and got it. Tasted more like the one I got at the end.",0
3,"The drinks tasted ok.  It took forever to use their credit card machine to pay for our drinks.  The cashier had to remove the cord, install it again, and take our orders again to make the credit card machine work.  The drinks were already ready when we are finally able to pay.  I hope they’ll figure out a better way to pay by card.",0
3,"Been here a few times, pretty solid boba shop. But your employee Julian was a bit too aggressive I’m usually very lenient because I understand people can have a bad day but like the sarcasm and aggressive behavior ruined this place for me.",0
2,"jumbo “boba” is NOT actually boba!! it’s balls of coffee jelly. didn’t taste bad, but was bland and very disappointing. badly advertised and incredibly misleading - for $8, definitely not worth it. however, workers were super nice and i hear their fruit teas are delicious.",0
1,"I had high expectations about this place because people usually say that it’s good but from what I experienced all I could say is that I will not be coming back to this place, the boba drink that I also got was too bland, no flavor or anything. Highly disappointed. Will stick to my 7leaves, tea is much better there",0
1,"The non-asian male cashier conversed, responded, and asked questions with a customer without looking at them. Wonder if that's how their parents taught them but I suggest they must have their manager reeducate them again.",0
3,"They have 3.5 🌟 for a reason. Rude af and had to ask them to seal my drink (since I'll be walking around & didn't want to spill drink) was told they don't do it for kitty crush, yet when I asked they were sealing another 2 cups of kitty crush, make it make sense. Promo stated that if I bought a drink the sleeve would be 9.99 yet paid 12.99. At ktown, a friend bought 1 drink & 1 sleeve and got the promo but apparently regardless of 1 sleeve per person limit they just even bother to explain that I needed to buy another drink for the promo to work. Not sure if I'm gonna make the trip in the future to come here since it's a 30 min drive from home.",0
1,"Rude, poorly trained, unfriendly staff, and they got my order wrong. Although to be fair, even when they get your order right, the drinks here are sub-par at best. Do yourself a favor and walk across the street to Sunright or Gong Cha. Sunright even validates, which Tiger does not.",0
1,"The drink was okay at best. I mostly remember what a nasty attitude the cashier had. I visited on July 15, 2022 around 7pm and the cashier was a heavy set girl with curly hair. I simply and politely asked her if the drinks came with boba and she sighed looking very annoyed as she pointed to the drink where it says it contained pearls. I have never been to this shop before so I just wanted to clarify what is the problem with that? There was hardly anyone inside at the time what could be so difficult about answering a simple question? That was the first and last time I will ever go there. If you're looking for delicious bubble tea you will not find it here there are so many other options nearby.",0
4,"Soooo sweeet !
Brown sugar boba is amazing ! summer match !",1
1,"The worst boba drink I have ever had. Super watery, you absolutely don’t taste any tea at all. Overcooked boba - $7",0
1,"They're stingy with their syrups, because the drinks come out tasting so weird and missing sweetness. The first time i went , it was perfect but these last three times I've gone, I'm basically paying for $6 for a cup of milk with a dash of syrup. So disappointing every time.",0
1,"Ordered a Black Sugar Pudding Cream Milk Tea and the boba pearls were not sweet at all, was bland. The Milk Tea itself was not sweet as well. You could mostly taste only the milk. Was disappointed.",0
1,"Ordered green tea latte with half the sugar, tasted like sugar water, my daughter's black tea latte with recommended sweetness tasted like there was no sugar, and my little one never got her drink because they were out of strawberry jam. Still waiting for my refund.",0
4,"I always love the service but I feel bad for the baristas I understand natural lighting, but the sun light are in their faces. Besides that I love the boba and the drink I always get the number 2 off the menu ❤️❤️",0
1,Their black sugar boba is horrible! Tastes like pure whole milk and the boba tastes very watery and old! Highly disappointed,0
1,"The staff didn’t shake the tea well, all the syrup just sticks at the bottom and it’s really sweet without mixing.",0
5,"First tasted tiger sugar abroad, and it tastes the same here. Staff were very kind. Delicious boba, would recommend if you’re stopping by little tokyo.",0
1,"Tastes like sugar water and milk with boba. Doesn't taste like tea at all, and may not even have any tea. Technically, there's no mention of the word ""tea"" for #1 and #2 ""black sugar milk boba"", so who knows if it is even supposed to be tea. Very confusing, a bubble tea shop where the top 5 items are not even tea. Who drinks just sugar and milk without any tea? Go home, pour yourself some cold milk, dump a bunch of sugar in it, and that's what this is.",0
1,"I asked specifically for 100% sweetness and it tastes like plain water with tea, can't even taste the black sugar flavor

There's always Big line but that's only because there's barely any employees working, not worth the wait",0
5,I got their signature drink not too long ago and I can say it’s one of the best! As to the cashier they told me it was their most popular drink and I see why! I would be getting more drinks from there.,0
5,It is my favorite place to get boba! I make the trek from the westside just for this! Don’t miss out!,0
4,"Service is slow and they put a 3 leches cake in the cardboard box without any protection and it made a mess all over the place.
Not cool.",0
2,Boba literally sucked so bad. Came out of state for plain starch balls.,0
1,my drink was full of ice and the matcha was very very very light.,0
3,Very busy location and very disappointing boba. Firm and not sweet. Not what we expected from Tiger Sugar.,0
5,Staff was very friendly and appreciative of us stopping in. If you're in the area check them out!!,0
1,Eh….drink quality is really bad. I had other Tiger Suger stores before but this one is exceptionally… the worst,0
1,Don’t get matcha here,1
3,"Very watered down milk tea, minimal flavor, wouldn’t order again, no restroom",0
1,Milk tea taste like just milk :( not strong at all :(,0
5,they played vamp anthem by carti and great boba,1
2,got my order wrong,1
5,Good ole reliable boba,1
5,workers were so kind and i love the atmosphere. great drinks as well!,0
1,Boba tastes like tap water.,1
5,Strawberry mochi creame mousse is the best here <3 super refreshing!!,0
5,First time here and B1 is delicious! Will definitely come back for more.,0
5,Their coffee drinks are really good.,0
5,Gets crowded but it's really great,1
1,The staff are making the boba tea tooo inefficiently,1
5,C1 coffee boba was soooo good.,1
1,Can’t get an order straight.,1
5,"Good tea, fast service, clean place",0
4,Good spot for a sugary drink and to people watch.,1
5,Great flavour milk tea.,1
4,Which side are you with?,1
